image,title,description,total time,ingredients,instructions
https://pinchofyum.com/wp-content/uploads/Chicken-Bowls-1-3-183x183.jpg,Banza Chicken Bowls with Calabrian Chili Sauce,"This bowl has it all! The crunch of the tomato cucumber salad, the thin slips of bitey red onion, the golden crisped air fryer chicken cut into tender little strips, a big pile of perfectly chewy Banza, and a dollop of tangy calabrian chile sauce on top.",35 minutes,white vinegar cucumb cherri tomato parsley calabrian chile garlic oliv brine red onion carb protein mayo greek yogurt,"['Tomato Salad: Toss the tomato cucumber salad ingredients together. Taste and adjust! (If you wanted to prep ahead, save the chopped tomatoes, cucumbers, and red onion in separate containers in the fridge with no liquids added until just before serving.)', 'Sauce: Stir up the sauce ingredients. Taste and adjust! This keeps super well in the fridge for several days.', 'Chicken and Banza:\xa0Make the chicken and the banza (or whatever carb you like).', 'You’re Done! Yum!\xa0Assemble and serve! Gah! So good.']"
https://pinchofyum.com/wp-content/uploads/Air-Fryer-Chicken-9-Square-183x183.jpg,Ridiculously Good Air Fryer Chicken Breast,"My go-to everyday air fryer chicken breast! Thinly sliced chicken breast pieces, coated to the max in spices, plus a bit of brown sugar and cornstarch, and air fried to golden, juicy perfection.",20 minutes,cornstarch brown sugar onion powder paprika garlic powder boneless skinless chicken breast,"['Cut the the chicken into thin pieces:\xa0Cut each chicken breast into thin, flat pieces (not bite-sized but something that looks like a thin chicken breast). For example: if a one-pound package gives me two chicken breasts, I’m often cutting it into 3-4 thin pieces per breast. Thin chicken is essential! And delicious! Pat the chicken breasts dry if they have a lot of moisture on them.', 'Coat the chicken with spices:\xa0Toss the spices together so they’re mixed well; sprinkle mixture over the chicken pieces in a bowl. Add the oil and toss (I use my hands but tongs will work). You want to thoroughly coat the chicken. You can give it a short rest if you want, but I find that the flavor is excellent even if it just goes straight into the air fryer, and that’s how I usually make it.', 'Air fry: Preheat the air fryer. Place the chicken on the air fryer basket / grate in an even layer, leaving a bit of space for air to circulate around. Air fry the chicken at 415 degrees for 10 minutes. If you have larger pieces of chicken, you’ll want to go closer to 13 minutes. You’re looking for an internal temperature of 165 degrees.', 'You’re done! Yum!\xa0It should be a gorgeous sight for hungry eyes. Crisped on the outside, full of flavor, and juicy to the max. Let it rest for a moment; then slice into it and enjoy. We often eat at least half of it just hot out of the air fryer while standing over the cutting board. I am on a kick with dunking the chicken pieces in a house-made gochujang dipping sauce which is in the notes below!']"
https://pinchofyum.com/wp-content/uploads/White-Chicken-Chili-7-Square-183x183.jpg,Super Creamy White Chicken Chili with Seasoned Tots,"Chicken, white beans, and green chiles folded up in a creamy soup blanket and topped with golden, crispity seasoned tots. WOW. Top combo.",30 minutes,cream cumin cilantro green onion white bean oregano garlic sour cream yellow onion chicken broth season tator tot hot sauc green chile,"['Make Your Tots: Follow package directions for a bag of frozen tator tots. The soup doesn’t take too long so I usually like to do this first (they usually take 20-30 minutes).', 'Cook the onions and garlic: Heat the oil in a large Dutch oven. Add onions and garlic; sauté until nice and fragrant, about 5-10 minutes.', 'Add spices: Add green chiles, spices, and salt. Give it a minute to get nice and yummy.', 'Add everything else: Add beans, chicken, broth, sour cream, cream, and cornstarch slurry. Simmer until slightly thickened.', 'You’re Done! Top each bowl of soup with a pile of seasoned tots, some cilantro and green onion, and a shot of hot sauce if you want. Absolute delight.\xa0']"
https://pinchofyum.com/wp-content/uploads/Mushroom-Sandwich-9-960x706-1-Square-183x183.jpg,Roasted Mushroom Sandwich with Horseradish Aioli,"Layers of roasty mushrooms, havarti, lemony arugula, and an easy homemade horseradish aioli make this mushroom sandwich a WINNER. A saucy, salty, hefty masterpiece!",40 minutes,horseradish sauc havarti chees honk bread realli garlic cajun season pesto rosso mayo mushroom lemon juic,"['Roast the mushrooms: Preheat the oven to 450 degrees. Toss the sliced mushrooms with the avocado oil and the seasoning on a sheet pan until well-combined. Roast for 20-25 minutes, until golden brown.', 'Make the horseradish aioli: Mix all the sauce ingredients in a bowl until well-combined. Taste and season.', 'Assemble the sandwiches: Toast the bread for the last few minutes on the pan with the mushrooms. Split the bread, spread with pesto rosso, roasty mushrooms, havarti (pop it in the oven again for a minute if you want it to melt), arugula, and the top piece of bread shmeared with the horseradish sauce. OH MY WORD can you even? This is so good.']"
https://pinchofyum.com/wp-content/uploads/Mushroom-Gnocchi-8-Square-183x183.jpg,Gnocchi with Creamy Mushroom Sauce,"Delicious pillowy gnocchi swimming in a silky creamy sauce that’s laced with thyme and loaded with little slips of garlic butter-browned mushrooms! Oh, this is so good.",35 minutes,cream thyme garlic gnocchi white button babi bella mushroom chicken broth butter parmesan chees,"['Cook the mushrooms and garlic: Melt the butter over medium heat. Add sliced mushrooms; sauté until golden. Once they’re golden, add salt – this will draw out some of the water. Cook the mushrooms down so some of the water can evaporate. Add garlic and sauté for 2-3 minutes, until fragrant.', 'Make your sauce:\xa0Add broth, cream, and thyme. Bring to a simmer and let it cook for 5-10 minutes. Add cornstarch slurry to thicken. (This is a good time to boil your gnocchi if you haven’t already.)', 'Add your gnocchi: Remove thyme sprigs from the sauce; add Parmesan and stir to melt it in. Add your cooked gnocchi and gently stir to combine. Season with salt and pepper; add additional broth if needed to keep the sauce nice and silky.', 'You’re done! Yum.\xa0Scoop hot, steamy, saucy gnocchi into bowls, top with Parm, salt, and pepper, and enjoy your life.']"
https://pinchofyum.com/wp-content/uploads/Applesauce-1-4-Square-183x183.jpg,Easy Instant Pot Applesauce,"My go-to method for homemade applesauce! Just apples, water, and cinnamon. A perfect kid recipe for an afternoon snack!",10 minutes,appl cinnamon stick,"['Cut your apples into chunks, discarding the cores. Place apples in the Instant Pot.', 'Add cinnamon sticks and water; cook on high pressure for 5 minutes.', 'Let it rest for 10 minutes before releasing the steam. Stick an immersion blender into the Instant Pot and give it a few whizzes, alternating with some gentle mashing, to get the texture that you want.', 'You’re done! Enjoy your homemade applesauce!']"
https://pinchofyum.com/wp-content/uploads/Slow-Cooker-Texas-Chili_HighRes-012-scaled-Square-183x183.jpg,Slow Cooker Texas Style Chili,"This shredded beef Texas chili is rich and hearty, made with 8 simple ingredients! Just saucy chunks of tender beef that shreds apart with the lightest pull of a fork!",8 hours 15 minutes,cumin chip cornbread chili powder crush fire roast tomato garlic brown sugar sour cream green onion yellow onion cheddar chees green chile,"['Prep everything: Chop, measure, get everything all set up first.', 'Brown the beef: Heat the oil in a large Dutch oven over high heat. Toss the cut beef chunks with salt. Add the beef to the pot and let it cook, undisturbed, for a few minutes on each side until it gets nice and browned. You may need to do this batches depending on the size of your pan. Remove beef chunks and transfer to the slow cooker.', 'Saute onions and garlic: Add onions and garlic (and a bit more oil if needed); sauté until golden and softened. This process should lift a lot of yummy browned bits from the bottom of the pan.', 'Add spices: Add the brown sugar and spices; sauté for 3-5 minutes until nice and fragrant.', 'Add tomatoes and chiles: Add green chiles and crushed tomatoes; simmer for 3-5 minutes until bubbly and delicious.\xa0', 'Cook low and slow: Pour tomato mixture into the slow cooker over the beef chunks; gently nudge them around so they are surrounded in the sauce. Cook on high for 4-ish hours or low for 8 hours.', 'Serve: Shred the beef into big tender chunks (you should be able to do this directly in the slow cooker) and season with more salt to taste. Serve with sour cream, cheddar, green onions, and cornbread.']"
https://pinchofyum.com/wp-content/uploads/Tomato-Soup-3-1-1368x2048-Square-183x183.jpg,5 Ingredient Tomato Soup,"A simple 5 ingredient tomato soup made with butter, onion, and canned San Marzano tomatoes. Based on the Marcella Hazan tomato sauce recipe. This hits the cozy vibes just right.",50 minutes,smash garlic yellow onion tomato,"['Make the Tomato Soup: Put the tomatoes, butter, and onion in a large saucepan or Dutch oven. Bring it up to a low bubble, then turn the heat to medium low. Cover partially with a lid; let it simmer for 45 minutes. Stir every 15 minutes or so to prevent scorching on the bottom.', 'Remove Onion Chunks: Remove the onion pieces using tongs. I leave the garlic in there, but that’s up to you!', 'Blend the Tomato Soup: Using an immersion blender, blend up the soup until it’s a smooth as you want it. Taste and adjust; you can thin it out with milk, water, broth, cream, whatever you want; I just leave it as-is!', 'Serve:\xa0Serve tomato soup with garlic bread, grilled cheese, croutons, crackers, pesto, whatever you like!\xa0']"
https://pinchofyum.com/wp-content/uploads/Garlic-Bread-11-Square-183x183.jpg,House Favorite Garlic Bread,"My go-to for garlic bread! French bread, butter, fresh garlic, garlic powder, Parmesan, and parsley. It’s so simple and so ridiculously good.",15 minutes,parsley garlic garlic powder loaf french bread parmesan chees,"['Preheat the oven to 400 degrees.\xa0', 'Soften the butter in the microwave in short increments. I like to whisk it to get it smoothed out a bit.', 'Grate the garlic directly into the butter. Add the garlic powder, Parmesan, and parsley; stir to combine.', 'Cut the French bread in half and spread with the butter mixture (this amount of butter is good for half of one large French bread loaf – see photos above).', 'Bake for 9-10 minutes in the middle of the oven, adding an extra 1-2 minutes or bumping to 425 at the end for more browning.', 'Remove from the oven, cut into slices, and serve. Life is good.']"
https://pinchofyum.com/wp-content/uploads/Pumpkin-Muffins-with-Cream-Cheese-Filling-10-Square-183x183.jpg,Pumpkin Muffins with Maple Cream Cheese Filling,"Pumpkin muffins are getting a lightly crunchy, sparkly cinnamon sugar topping, and then stuffed to the brim with maple cream cheese whipped cream. YUM. ",50 minutes,cream allpurpos flour granul sugar milk cream chees brown sugar cinnamon egg pumpkin pure vanilla bake soda mapl syrup,"['Make Muffin Batter: Preheat the oven to 350 degrees. Whisk oil and sugars. Add pumpkin, vanilla, eggs, and milk; whisk until just combined. Add flour, baking soda, spices, and salt; mix until just combined. Pour muffin batter into an oiled or nonstick muffin tin, filling about 3/4ths of the way to the top of each up.\xa0', 'Make Cinnamon Sugar: Mix up the cinnamon sugar topping in a small bowl.', 'Assemble and Bake: Spoon the cinnamon sugar over each muffin. Bake for 20-24 minutes, or until the tops spring back when gently pressed.', 'Make Maple Cream Cheese Filling:\xa0Add the cream to a small bowl and beat until light and fluffy and stiff peaks form. In a separate bowl, beat the softened cream cheese until smooth. Fold in the whipped cream, using the beaters again to smooth it out if needed. Add the maple syrup and mix until smooth.\xa0', 'Fill The Muffins: Once the muffins have cooled, cut a cone out of the center of the muffins using a small paring knife. Using a piping bag, or a plastic bag with the corner snipped off, add the filling to the center hole in the muffins. Fill it all the way to the top (the filling will be exposed at the top – cute).', 'Serve: These are ready to eat as-is! If making ahead, they should be stored in the fridge. They can be eaten at room temp or cold – both delicious!']"
https://pinchofyum.com/wp-content/uploads/Swedish-Pancackes-1-2-Square-183x183.jpg,Swedish Pancakes,"My go-to recipe for Swedish pancakes! Buttery, tender, and thick enough to sink your teeth into but with a nice thin, delicate, lacy edge.",20 minutes,granul sugar egg plain yogurt whip cream flour whole milk lingonberri blueberri jam butter,"['Make Pancake Batter: Blend the eggs and milk until doubled in size, about 30 seconds. Add flour, melted butter, sugar, and salt; blend for another 15-20 seconds until combined.', 'Pour and Pan Tilt: Preheat a nonstick or well seasoned cast iron pan over medium heat. Pour about 1/4 cup of pancake batter into the pan with one hand, and immediately tilt the pan with the other hand to spread the batter even wider. This will give you a signature thin lacy edge on your pancake.\xa0', 'Cook: Let it sit for about 1 minute or until the pancake is golden brown; use a spatula to pull the edges up and flip the pancake. Cook for another 15-30 seconds on the back side. You can cook to your desired level of doneness; I prefer golden brown on the front side and pale on the back side.', 'Serve: Serve them flat, folded, or rolled, topped with whatever you like: maple syrup, whipped cream, fruit, jams, etc. I like to fold them and serve with lingonberry jam and yogurt!']"
https://pinchofyum.com/wp-content/uploads/Fried-Egg-Tacos-4-Square-183x183.jpg,Roasted Corn and Fried Egg Tacos,"Roasted Corn and Fried Egg Tacos with a crispy, cheesy, lacy-edged egg, corn, cotjia cheese, cilantro, pickled onions and sauce all piled into a tortilla with refried beans.",35 minutes,melti quesadillastyl chees roast corn tortilla egg pickl red onion cilantro aji verd refri black bean cotjia chees,"['Heat a nonstick or cast iron skillet over medium heat. Add your cheese in a ring shape.', 'Once it starts to melt a little bit, crack an egg directly into the center.\xa0', 'Spoon a bit of roasted corn around the edge of the egg.\xa0', 'Use a spatula to pull the edges in a bit once the cheese starts to get golden brown; you don’t have to do this, but I find that it helps to contain the egg a bit and expose those golden brown lacy edges.', 'Cover and let it cook for a minute or two.', 'When the egg is cooked to your liking (I prefer it with the whites set and the yolk still a bit runny), transfer the egg to tortilla with refried black beans.', 'Finish with pickled onions, cilantro, Cotija, and your sauce of choice. The crispy cheese edge. The runny yolk. The creamy beans, spicy sauce, tangy onions. Oh my word. YUM.']"
https://pinchofyum.com/wp-content/uploads/Chimichurri-Shrimp-6-183x183.jpg,Chimichurri Shrimp with Rice and Tzatziki,"Saucy, punchy, and delightful Chimichurri Shrimp! Served with a tomato salad, a pile of hot steamy rice, and a dollop of creamy tzatziki.",25 minutes,chile tzatziki cherri tomato parsley oregano garlic bread rice red wine vinegar shrimp,"['Chimichurri: Blitz up your sauce in a food processor. It will be somewhat emulsified and it will settle a bit as it rests. If you don’t have a food processor, finely chop everything and mix together in a bowl. Divide the sauce into three bowls: one bowl for tossing with the shrimp, one bowl for brushing while cooking, and one bowl for brushing at the table.', 'Get That Flavor on Your Shrimp:\xa0Thaw shrimp (if frozen) and remove shells and tails (if necessary or desired). Pat dry with paper towels. Toss the shrimp with one third of the chimichurri.\xa0', 'Grill the Skewers: Thread the saucy shrimp onto soaked wood skewers. Transfer to a grill pan, grill, or standard sauté pan over medium high heat. Add the shrimp and cook for 2-3 minutes per side, depending on the size of your shrimp. Brush with additional sauce as you cook. Cook until no longer translucent, or until 145 degrees.\xa0', 'Serving:\xa0I like to toss some cherry tomatoes with a spoonful of my reserved chimichurri and then plate it all up: rice, tomatoes, shrimp, and a little side dish of tzatziki just for something extra to dip and dunk.']"
https://pinchofyum.com/wp-content/uploads/Creamy-Baked-Orzo-Square-183x183.png,Creamy Baked Orzo with Meatballs,"Chewy little pasta bites with a nostalgic-feeling tomato base and bits of garlic butter peeking through. Parm sprinkle, basil leaves, and you’re good to go!",45 minutes,cherri tomato veget chicken broth garlic orzo basil chicken meatbal tomato soup butter parmesan chees,"['Preheat the oven to 425 degrees. Pour the orzo, vegetable broth, tomato soup, meatballs, and tomatoes into a 9×13 baking dish. Stir to get everything coated and combined.', 'Bake for 25 minutes. Give it a little stir and check the texture. If needed, bake for another 10 minutes to let the orzo finish absorbing the liquid. Fluff up the orzo with a fork and stir in any remaining liquid that might be bubbling around the edges. This will gently break down the tomatoes and release some of their juices as well. (As the orzo sits, it will continue to absorb liquid so add more tomato soup or broth as desired.)', 'Add the Parmesan, garlic, and butter; stir to melt it in. Top with fresh basil leaves, olive oil, salt, and pepper.']"
https://pinchofyum.com/wp-content/uploads/Kale-Apple-Salad-8-2-1-Square-183x183.jpg,Kale Apple Salad with Crispy Shallots,"I love this Kale Apple Salad! Kale, brussels sprouts, rosemary cashews, apples, fried bread cheese, crispy shallots, and crisp apple maple dressing!",25 minutes,salad girl crisp appl mapl dress garlic bread chees rosemari cashew shallot honeycrisp appl kale brussel sprout,"['Chop stuff: Shred up your kale and brussels. You can keep these in containers in the fridge to assemble salads throughout the week! Chop your nuts and apples and set aside. (Toss the apples with a few drops of lemon juice if you don’t want them to brown.)', 'Make your shallots: Fry the shallots in a bit of oil in a skillet until golden and crispy, or fry them in the microwave using the method in the notes section.', 'Fry the bread cheese:\xa0Cube and fry the cheese in a nonstick over medium heat until golden brown and delicious.', 'Assemble:\xa0Toss kale, brussels, apples, cashews, shallots, cheese, and dressing together. Salad happiness! Enjoy!']"
https://pinchofyum.com/wp-content/uploads/Chicken-Wontons-in-Spicy-Chili-Sauce-Square-183x183.png,Chicken Wontons in Spicy Chili Sauce,"Big, beautiful, bossy flavors ahead! Shiitake mushrooms and chicken wontons swim in a brothy flavor-filled sauce and get finished with a swirl of sesame oil and chili crisp on top. Yum!",15 minutes,shiitak mushroom sesam seed garlic green onion chili crisp chicken broth wonton teriyaki sauc,"['Heat 1 tablespoon sesame oil in a large nonstick skillet over medium heat. Add mushrooms; sauté until softened and yummy. Add garlic for the last minute or two of sautéing.\xa0', 'Add the frozen wontons, chicken broth, and teriyaki sauce. Simmer for 5 minutes, with a lid on, until the wontons are heated through.', 'Finish with remaining 2 tablespoons sesame oil, chili crisp, and top with sesame seeds and scallions.\xa0']"
https://pinchofyum.com/wp-content/uploads/Red-Curry-Chicken-Stir-Fry-Square-183x183.png,Red Curry Chicken Stir Fry with Spicy Cashew Sauce,"Caramelized red curry chicken sits next to a bed of hot, fluffy rice and steamed broccoli and then totally sauced up with the BEST spicy cashew sauce. Ooof, this is so, so good. ",40 minutes,chicken breast cornstarch red curri past garlic brown sugar steam broccoli floret juic lime rice garlic powder black pepper sriracha soy sauc mapl syrup ginger past ginger,"['Make the Spicy Cashew Sauce: Blend all ingredients in a high-powered blender until very smooth.\xa0', 'Prep the Chicken:\xa0Cut the chicken breasts into very thin pieces. Toss with the cornstarch, garlic powder, salt, and pepper.\xa0', 'Cook the Chicken: Add the avocado oil to a nonstick pan over medium high heat. Add the curry paste and brown sugar; cook for a few minutes to get it caramelizy and bubbly. Add the chicken. Toss once to coat in the sauce, then let it sit for several minutes to get the chicken nice and golden brown. Flip and repeat until chicken is cooked through. If needed, add 1-2 tablespoons of water to the pan to lift up any browned pieces that are stuck to the bottom.', 'Serve: Serve the chicken on cooked rice, with cooked broccoli, with a lot of that yummy cashew sauce all over everything.']"
https://pinchofyum.com/wp-content/uploads/Zucchini-Muffins-Square-183x183.jpg,Feel-Good Zucchini Muffins,"The BEST healthy zucchini muffins – made with all the yummy feel-good ingredients: oats, zucchini, dates, maple syrup, and olive oil. Just blitz up in a blender and pour! YUM.",25 minutes,roll oat egg real mapl syrup zucchini chocol chip medjool date bake soda,"['Preheat the oven to 350 degrees.', 'Mix all ingredients in a blender until a chunky batter comes together.', 'Pour batter into a greased or lined muffin tin. Sprinkle with chocolate chips. Bake for 15-18 minutes, until the tops gently spring back when you press into them.', 'Sprinkle warm muffins with sea salt if you’re into that kinda thing. Serve warm or cold ALL DAY LONG. ♡']"
